BPR-2019-00018-P,NICF- Business Process Reengineering
SPMR-12703,NICF- Strategic Product Manager™
TPML-2019-00001-P,NICF- Text Processing using Machine Learning (SF)
CSF-12588,Client Side Foundation
FSF-12824,Full Stack Foundation
PCP-FSD-2019-00003-P,PCP for FullStack Software Developers
IOTSEC-2019-00007-P,NICF- Securing IoT (SF)
EDM-2019-00014-P,Enhanced Development Methodology
ESUIOT-12631,Envisioning Smart Urban IoT Solutions
SID-12689,NICF- Service Design
P3O-12494,"NICF- Portfolio, Programme and Project Offices (P3O®)- Foundation & Practitioner"
PRINCE2-2019-00004-P,NICF- PRINCE2® (Projects IN Controlled Environments) - Foundation and Practitioner Certificate
CISSP-12434,NICF- (ISC)² CISSP CBK Training Seminar
IB-2019-00016-P,Innovation Bootcamp
OODP-12658,NICF- Object Oriented Design Patterns
BPM-C-12477,NICF- AIIM Business Process Management Master (BPMC)
RBS-2019-00003-P,NICF- Robotic Systems (SF)
BEAD-2019-00003-P,NICF- Big Data Engineering for Analytics
DDDM-2019-00021-P,Data Driven Decision Making
MSP-E2-2019-00005,MSP® Practitioner Certificate Examination
PRINCE2-E2-2019-00004,PRINCE2® Practitioner Certificate Examination
TE-12722,NICF- Technopreneurship
CSCRUM-12576,NICF- Certified ScrumMaster
DAG-12601,NICF- Data Governance & Protection
DOFBO-2019-00009-P,NICF- DevOps Foundation with BizOps
DOFBO-SF-2019-00004-P,NICF- DevOps Foundation with BizOps (SF)
DST-2019-00021-P,NICF- Data Storytelling
SVA-2019-00003-P,NICF- Service Analytics
ITSMAM-2019-00002-P,Operations Management Essentials for Application Services
ITSM-12511,NICF- ITIL® Foundation Certificate in IT Service Management
DDDM-12604,Data Driven Decision Making
DOFBO-WS-2019-00009,NICF- DevOps Foundation with BizOps
IB-2019-00022-P,Innovation Bootcamp
IB-2019-00005-P,Innovation Bootcamp
DST-2019-00027-P,NICF- Data Storytelling
DST-2019-00025-P,NICF- Data Storytelling
ITSM-E-2019-00008,ITIL V3 Foundation Exam
MSP-E2-2019-00006,MSP® Practitioner Certificate Examination
PRINCE2-E2-2019-00005,PRINCE2® Practitioner Certificate Examination
UXD-12730,NICF- Digital User Experience Design
WA-12734,NICF- Web Analytics & SEO
CCSP-12560,NICF- (ISC)² CCSP CBK Training Seminar
PA-12663,NICF- Predictive Analytics - Insights of Trends and Irregularities
DFEML-2019-00001-P,NICF- Data and Feature Engineering for Machine Learning (SF)
MLDDS-12649,Machine Learning driven Data Science
EDM-2019-00015-P,Enhanced Development Methodology
COBIT-12495,NICF- COBIT® 5 Foundation
DST-12617,NICF- Data Storytelling
CAAR-12554,NICF- Cloud Computing for Solution Architects
CLIF-12571,NICF - Lean IT Foundation Certification
CAAR-SF-2019-00001-P,NICF- Cloud Native Solution Design (SF)
IB-12634,Innovation Bootcamp
IB-SF-2019-00001-P,NICF- Innovation Bootcamp (SF)
BAAP-12745,NICF- Business Analysis for Agile Practitioners
BAAP-SF-2019-00001-P,NICF- Business Analysis for Agile Practitioners (SF)
SDI-12682,NICF- Strategic Design & Innovation
SDI-SF-2019-00001-P,NICF- Strategic Design & Innovation (SF)
SDI-SF-2019-00004-P,NICF- Strategic Design & Innovation (SF)
CSIP-12594,NICF- Cyber Security for ICT Professionals
CSIP-SF-2019-00001-P,NICF- Cyber Security for ICT Professionals (SF)
DST-2019-00019-P,NICF- Data Storytelling
DST-SF-2019-00008-P,NICF- Data Storytelling (SF)
SSF-12712,Server Side Foundation
SSF-SF-2019-00001-P,NICF- Server Side Foundation (SF)
DFEML-WS-2019-00001,NICF- Data and Feature Engineering for Machine Learning (SF)
EDM-2019-00016-P,Enhanced Development Methodology
