Reference No,title,Duration,Instructors
[' CRS-Q-0034740-ICT '],NICF- (ISC) CISSP CBK Training Seminar  (SF),[' 5 days '],"['Ms. Angela HUANG ', 'Mr. CHEONG Kok Yin', 'Mr. Christopher LEK', 'Mr. HOO Chuan Wei', 'Mr. LEONG Kai Seng', 'Mr. Martin LUI', 'Mr. NG Kok Leong', 'Mr. Winston CHEW']"
[' CRS-Q-0036091-ICT '],NICF- Designing Cloud-enabled Mobile Applications  (SF),[' 3 days '],"['Dr. Esther TAN ', 'Mr. Chris Hampartsoumian']"
[' CRS-Q-0035469-ICT '],NICF- DevOps Foundation with BizOps  (SF),[' 3 days '],['Mr. Jamie Donoghue']
[' CRS-Q-0037064-ICT '],NICF- Web Analytics & SEO  (SF),[' 3 days '],"['Ms. LIM Wee Khee ', ' Rehermann Anna Katrin']"
[' CRS-Q-0034788-ICT '],NICF - Lean IT Foundation Certification  (SF),[' 3 days '],['Mr. Chandrasekaran PARAMASIVAM ']
[' CRS-Q-0034778-ICT '],NICF- Cybersecurity Risk Awareness  (SF),[' 1 day '],"['Mrs. TAN Lay Ngan', 'Mr. TAN Peng Wei']"
[' CRS-Q-0034793-ICT '],NICF- Predictive Analytics - Insights of Trends and Irregularities  (SF),[' 5 days '],"['Mr. Rajnish TULI ', 'Mr. Eric THAM', 'Mr. Prakash Chandra SUKHWAL', 'Dr. Rita CHAKRAVARTI', 'Dr. TIAN Jing', 'Dr. ZHU Fang Ming']"
[' CRS-Q-0036101-ICT '],NICF- Certified LeSS Practitioner - Principles to Practices  (SF),[' 3 days '],"['Mr. GOH Boon Nam ', 'Mr. Bas VODDE']"
[' CRS-Q-0036470-ICT '],NICF- Strategic Business Analysis  (SF),[' 3 days '],"['Ms Sharon LAU ', ' Dr. NG Pan Wei']"
[' CRS-Q-0035469-ICT '],NICF- DevOps Foundation with BizOps  (SF),[' 3 days '],['Mr. Jamie Donoghue']
[' CRS-Q-0034785-ICT '],NICF- Data Storytelling  (SF),[' 3 days '],"['Mr. Brandon NG ', 'Ms. Catherine KHAW', 'Dr. Kate LAZARENKO', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Dr. TAN Jen Hong']"
[' CRS-Q-0035990-ICT '],NICF- Certified ScrumMaster  (SF),[' 3 days '],['Mr. Pete DEEMER']
[' CRS-Q-0034841-ICT '],NICF- DevOps Engineering and Automation  (SF),[' 4 days '],"['Mr. Chandrasekaran PARAMASIVAM', 'Mr. Kenneth PHANG ']"
[' CRS-Q-0035471-ICT '],NICF- Digital Transformation Planning  (SF),[' 3 days '],"['Mr. Nicholas TAN ', 'Dr. HOE Siu Loon', 'Dr. Kate LAZARENKO', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Mrs. TAN Lay Ngan']"
[' CRS-Q-0034841-ICT '],NICF- DevOps Engineering and Automation  (SF),[' 4 days '],"['Mr. Chandrasekaran PARAMASIVAM', 'Mr. Kenneth PHANG ']"
[' CRS-Q-0036102-ICT '],NICF- Client Side Foundation  (SF),[' 10 days '],"['Mr. Kenneth PHANG ', 'Mr. LEE Chuk Munn', 'Mr. Vincent LAU']"
[' CRS-Q-0034840-ICT '],NICF- Cloud Native Solution Design  (SF),[' 4 days '],['Dr. Suriya Priya ASAITHAMBI ']
['- '],"Enhanced Development Methodology",['9.00am - 5.00pm'],"['Mr. LEE Boon Kee ', 'Mr. TAN Liong Choon']"
[' CRS-Q-0034800-ICT '],NICF- Business Process Reengineering  (SF),[' 3 days '],"['Mr. YU Chen Kuang ', 'Dr. HOE Siu Loon', 'Ms. Tamsin Emma Maria GREULICH-SMITH']"
[' CRS-Q-0034840-ICT '],NICF- Cloud Native Solution Design  (SF),[' 4 days '],['Dr. Suriya Priya ASAITHAMBI ']
[' CRS-Q-0035990-ICT '],NICF- Certified ScrumMaster  (SF),[' 3 days '],['Mr. Pete DEEMER']
